"Mention ID","Original Mention Index","Corrected Mention Index","Original Mention Text","Corrected Mention Text"
"s09e04c10t|20","[15, 16]","[13, 16]","سنگ","تخته ‌ سنگ"
"s09e04c10t|25","()","[0, 1]","","بنظرم"
"s09e04c10t|34","()","[3, 4]","","خوشت"
"s09e04c10t|44","()","[9, 10]","","خوشم"
"s09e04c10t|46","[6, 15]","[6, 15]","آهنگ ‌ هایی خوشم میاد که بشه باهاشون رقصید","آهنگ ‌ هایی خوشم میاد که بشه باهاشون رقصید"
"s09e04c10t|47","()","[13, 14]","","باهاشون"
"s09e04c10t|48","()","[2, 3]","","میشه"
"s09e04c11t|0","()","[1, 2]","","دارم"
"s09e04c11t|13","()","[6, 7]","","میکردم"
"s09e04c11t|22","()","[2, 3]","","میشه"
"s09e04c11t|26","[18, 19]","[22, 23]","،","میکردی"
"s09e04c11t|29","[28, 29]","()","اون",""
"s09e04c11t|35","[12, 17]","[12, 13]","جفتمون عاشق این آهنگ بودیم","جفتمون"
"s09e04c11t|46","()","[3, 4]","","بنظرم"
"s09e04c11t|62","[0, 2]","()","چقدر بدون",""
"s09e04c11t|74","[7, 9]","[6, 11]","یه موسیقی","بعنوان یه موسیقی ‌ دان"
"s09e04c11t|77","[15, 19]","[15, 20]","که توی گذشته گیر","که توی گذشته گیر کردی"
"s09e04c11t|86","()","[7, 8]","","میدونی"
"s09e04c11t|89","()","[16, 17]","","دخترت"
"s09e04c11t|91","[14, 15]","[14, 17]","دوست","دوست ‌ دخترت"
"s09e04c11t|100","[1, 4]","[1, 5]","ربطی به این","ربطی به این قضیه"
"s09e04c11t|104","[7, 8]","()","خودم",""
"s09e04c11t|106","()","[7, 8]","","خودم"
"s09e04c11t|108","()","[2, 3]","","مغزت"
"s09e04c11t|111","[6, 7]","[6, 8]","کسی","کسی که"
"s09e04c11t|118","[0, 1]","[0, 2]","اون","اون قضیه"
"s09e04c11t|119","[2, 6]","[1, 6]","اصلا ربطی به ریچل","قضیه اصلا ربطی به ریچل"
"s09e04c11t|131","()","[7, 8]","","میشم"
"s09e04c12t|2","()","[2, 3]","","میدونم"
"s09e04c12t|4","[6, 10]","[6, 11]","من پیش پنی زندگی","من پیش پنی زندگی کنم"
"s09e04c12t|13","[4, 5]","[1, 2]","بزنی","میتونی"
"s09e04c12t|20","[9, 11]","[9, 12]","شما دو","شما دو تا"
"s09e04c12t|24","[18, 20]","[18, 21]","دیر یا","دیر یا زود"
"s09e04c12t|26","[18, 19]","()","دیر",""
"s09e04c12t|32","()","[2, 3]","","میدونم"
"s09e04c12t|48","[28, 29]","()","بار",""
"s09e04c12t|50","[28, 29]","()","بار",""
"s09e04c12t|54","[34, 44]","[34, 45]","مناسبت ‌ های خاص مثلا وقتیکه برنادت از والویتز طلاق","مناسبت ‌ های خاص مثلا وقتیکه برنادت از والویتز طلاق بگیره"
"s09e04c12t|58","()","[60, 61]","","کرده"
"s09e04c12t|60","[55, 56]","[55, 57]","جسد","جسد راج"
"s09e04c12t|78","()","[19, 20]","","بذاریم"
"s09e04c12t|83","[22, 23]","()","سابق",""
"s09e04c12t|100","()","[9, 10]","","بخوای"
"s09e04c12t|102","[18, 19]","[11, 12]","کنیم","میتونیم"
"s09e04c12t|119","()","[3, 4]","","براتون"
"s09e04c12t|122","()","[10, 11]","","میترسم"
"s09e04c12t|124","[7, 8]","[7, 10]","آتیش","آتیش ‌ بازی"
"s09e04c12t|126","[14, 16]","[13, 16]","چهارم جولای","روز چهارم جولای"
"s09e04c12t|127","()","[18, 19]","","میخوابیم"
"s09e04c12t|142","[30, 31]","()","پس",""
"s09e07c00t|0","()","[5, 6]","","شنیدین"
"s09e07c00t|13","()","[11, 12]","","بودم"
"s09e07c00t|25","()","[18, 19]","","میدونستم"
"s09e07c00t|27","()","[18, 19]","","میدونستم"
"s09e07c00t|34","[11, 12]","()","کجا",""
"s09e07c00t|38","[2, 3]","()","...",""
"s09e07c00t|40","()","[11, 12]","","شدی"
"s09e07c00t|50","[17, 31]","[17, 33]","یه مستند کار میکنه که قبل از اینکه پدرش فوت کنه با هم شروع","یه مستند کار میکنه که قبل از اینکه پدرش فوت کنه با هم شروع کرده بودن"
"s09e07c00t|55","()","[25, 26]","","پدرش"
"s09e07c00t|77","[4, 5]","[0, 1]","کنن","میخوان"
"s09e07c00t|78","[2, 4]","[2, 5]","طرفداراش مصاحبه","طرفداراش مصاحبه کنن"
"s09e07c00t|83","[11, 12]","()","کردن",""
"s09e07c00t|84","[2, 3]","[2, 4]","بزن","بزن قدش"
"s09e07c00t|87","()","[2, 3]","","تو"
"s09e07c00t|94","[5, 7]","[5, 6]","پیرهنت رو","پیرهنت"
"s09e07c00t|103","()","[7, 8]","","مطمئنم"
"s09e07c01t|2","()","[2, 3]","","داری"
"s09e07c01t|4","[0, 4]","[0, 1]","یدقیقه وقت داری ؟","یدقیقه"
"s09e07c01t|7","()","[8, 9]","","سرویسم"
"s09e07c01t|22","()","[0, 1]","","میدونم"
"s09e07c01t|39","[4, 5]","()","اینجا",""
"s09e07c01t|50","[7, 8]","()","کنم",""
"s09e07c01t|53","()","[8, 9]","","دارم"
"s09e07c01t|58","[28, 29]","[26, 27]","کنم","میخوام"
"s09e07c01t|60","[19, 25]","[19, 26]","هرچیزی رو که بهم حس خوبی","هرچیزی رو که بهم حس خوبی نده"
"s09e07c01t|79","[4, 5]","()","کاغذ",""
"s09e07c01t|81","()","[13, 14]","","بابات"
"s09e07c01t|86","()","[17, 18]","","مامانت"
"s09e07c02t|8","()","[7, 8]","","میدونم"
"s09e07c02t|13","()","[15, 16]","","میذارم"
"s09e07c02t|16","()","[17, 18]","","گفتم"
"s09e07c02t|26","()","[38, 39]","","صداش"
"s09e07c02t|28","[40, 45]","[40, 43]","اسپاک ‌ مستند این جک","اسپاک ‌ مستند"
"s09e07c02t|30","()","[46, 47]","","میخوام"
"s09e07c02t|32","[43, 44]","[43, 45]","این","این جک"
"s09e07c02t|34","()","[61, 62]","","میشنویش"
"s09e07c02t|36","()","[61, 62]","","میشنویش"
"s09e07c02t|39","()","[62, 63]","","میدونی"
"s09e07c02t|47","()","[79, 80]","","زندگیت"
"s09e07c02t|51","[2, 11]","[2, 12]","که کلمه "" اسپاک ‌ مستند "" به ذهنم","که کلمه "" اسپاک ‌ مستند "" به ذهنم اومد"
"s09e07c02t|55","[5, 6]","[5, 8]","اسپاک","اسپاک ‌ مستند"
"s09e07c02t|62","()","[10, 11]","","میشنومش"
"s09e07c02t|64","()","[10, 11]","","میشنومش"
"s09e07c02t|80","()","[2, 3]","","پدرتون"
"s09e07c02t|88","[11, 24]","[11, 26]","کسی ملاقات کنی که وجودش از کیسه ‌ بیضه ‌ ی قهرمانم شروع","کسی ملاقات کنی که وجودش از کیسه ‌ بیضه ‌ ی قهرمانم شروع شده باشه"
"s09e07c02t|91","()","[22, 23]","","قهرمانم"
"s09e07c02t|94","()","[2, 3]","","بودم"
"s09e07c02t|100","[6, 7]","()","جنسه",""
"s09e07c03t|4","()","[8, 9]","","مامانم"
"s09e07c03t|10","()","[14, 15]","","بابام"
"s09e07c03t|14","()","[9, 10]","","میکردم"
"s09e07c03t|16","[17, 18]","[12, 13]","برسیم","بتونیم"
"s09e07c03t|37","()","[9, 10]","","مادرم"
"s09e07c03t|42","()","[0, 1]","","میخوام"
"s09e07c03t|45","()","[1, 2]","","جوابم"
"s09e07c03t|60","()","[13, 14]","","که"
"s09e07c03t|61","()","[17, 18]","","پدرم"
"s09e07c03t|67","()","[27, 28]","","مادرم"
"s09e07c04t|0","()","[4, 5]","","میخوایم"
"s09e07c04t|12","()","[4, 5]","","میشناسی"
"s09e07c04t|25","()","[4, 5]","","شغلت"
"s09e07c04t|28","[0, 9]","[0, 11]","دکتر شلدون کوپر هستم فیزیکدان نظری ، دانشگاه کل","دکتر شلدون کوپر هستم فیزیکدان نظری ، دانشگاه کل ‌ تک"
"s09e07c04t|30","[4, 9]","[4, 11]","فیزیکدان نظری ، دانشگاه کل","فیزیکدان نظری ، دانشگاه کل ‌ تک"
"s09e07c04t|31","[7, 9]","[7, 11]","دانشگاه کل","دانشگاه کل ‌ تک"
"s09e07c04t|40","[2, 9]","[2, 12]","استار ترک از مجموعه "" سریال حقیقی","استار ترک از مجموعه "" سریال حقیقی استار ترک """
"s09e07c04t|42","()","[13, 14]","","دیدم"
"s09e07c04t|50","()","[23, 24]","","داداشم"
"s09e07c04t|53","()","[27, 28]","","سرم"
"s09e07c04t|57","()","[42, 43]","","شدم"
"s09e07c04t|71","()","[1, 2]","","بنظرم"
"s09e07c04t|75","[2, 3]","()","چیزی",""
"s09e07c04t|84","()","[35, 36]","","میدونین"
"s09e07c04t|88","()","[41, 42]","","برادرتون"
"s09e07c04t|115","()","[4, 5]","","دلم"
"s09e07c04t|117","[9, 10]","[6, 7]","بهش","بغلش"
"s09e07c04t|131","()","[2, 3]","","دارم"
"s09e07c04t|149","[21, 22]","()","نشسته",""
"s09e07c04t|151","[0, 1]","()","اینجا",""
"s09e07c04t|156","()","[12, 13]","","پیراهنم"
"s09e07c04t|158","()","[3, 4]","","ببینیم"
"s09e07c04t|165","[0, 1]","[0, 2]","یکم","یکم طول"
"s09e07c04t|171","[1, 5]","[1, 7]","دیگه گاوصندوق زمینی جای","دیگه گاوصندوق زمینی جای خالی نداشت"
"s09e07c04t|186","[8, 9]","()","خونه",""
"s09e07c05t|0","()","[1, 2]","","پدرزنت"
"s09e07c05t|25","()","[1, 2]","","مخوام"
"s09e07c05t|30","()","[5, 6]","","تلاشم"
"s09e07c05t|41","()","[0, 1]","","بابات"
"s09e07c05t|52","()","[9, 10]","","داره"
"s09e07c05t|58","()","[2, 3]","","میخوام"
"s09e07c05t|61","()","[2, 3]","","نکنم"
"s09e07c05t|63","()","[3, 4]","","بتونین"
"s09e07c06t|4","()","[13, 14]","","کرده"
"s09e07c06t|5","()","[7, 8]","","دهنش"
"s09e07c06t|16","[12, 13]","[7, 14]","لئونارد","دی ‌ ان ‌ ای لئونارد نیموی"
"s09e07c06t|18","[1, 3]","[0, 3]","توهین ندارم","قصد توهین ندارم"
"s09e07c06t|27","[15, 16]","()","50درصد",""
"s09e07c06t|36","()","[26, 27]","","دهنت"
"s09e07c06t|44","()","[2, 3]","","داری"
"s09e07c06t|51","[10, 11]","()","ارزشمه",""
"s09e07c06t|54","[10, 11]","()","ارزشمه",""
"s09e07c06t|55","[10, 11]","()","ارزشمه",""
"s09e07c06t|57","()","[16, 17]","","داری"
"s09e07c06t|93","()","[7, 8]","","میخواستم"
"s09e07c06t|95","[9, 11]","[9, 13]","دوست ‌","دوست ‌ دخترم امی"
"s09e07c06t|96","()","[11, 12]","","دخترم"
"s09e07c06t|98","()","[12, 13]","","امی"
"s09e07c06t|99","[9, 11]","[9, 12]","دوست ‌","دوست ‌ دخترم"
"s09e07c06t|101","()","[2, 3]","","خریدی"
"s09e07c06t|103","()","[0, 1]","","براش"
"s09e07c06t|112","[8, 9]","[8, 11]","نسل","نسل ‌ ها"
"s09e07c06t|114","[23, 26]","()","سرخپوست ‌ ها",""
"s09e07c06t|122","[0, 1]","()","چقدر",""
"s09e07c06t|140","[5, 7]","[6, 7]","قضیه حلقه","حلقه"
"s09e07c06t|151","()","[3, 4]","","بتونم"
"s09e07c06t|155","()","[0, 1]","","متاسفم"
"s09e07c06t|162","()","[5, 6]","","میدونین"
"s09e07c06t|173","()","[0, 1]","","میدونم"
"s09e07c06t|176","()","[0, 1]","","گفتم"
"s09e07c06t|191","[16, 18]","[16, 20]","این اسپاک","این اسپاک ‌ مستند"
"s09e07c06t|193","[27, 28]","[25, 28]","لئونارد","جک رو لئونارد"
"s09e07c06t|198","()","[40, 41]","","مامانم"
"s09e07c06t|211","[71, 73]","[71, 74]","یه دندونش","یه دندونش افتاده"
"s09e07c06t|212","[78, 79]","[77, 79]","همچین","همین همچین"
"s09e07c06t|224","()","[6, 7]","","فهمیدم"
"s09e07c06t|233","()","[23, 24]","","بگیرم"
"s09e07c06t|236","()","[0, 1]","","میدونستم"
"s09e07c06t|240","()","[1, 2]","","بوشون"
"s09e07c06t|242","[0, 1]","()","یه",""
"s09e07c06t|243","()","[6, 7]","","بودی"
"s09e07c06t|246","()","[3, 4]","","سالم"
"s09e07c06t|253","()","[18, 19]","","پرسیدم"
"s09e07c06t|260","()","[35, 36]","","گرفتم"
"s09e07c06t|277","()","[9, 10]","","هنوزم"
"s09e07c06t|284","()","[2, 3]","","گفتم"
"s09e07c06t|286","[4, 11]","[4, 12]","کل هدفم برای اینکه از اسپاک تقلید","کل هدفم برای اینکه از اسپاک تقلید کنم"
"s09e07c06t|296","()","[1, 2]","","میخوام"
"s09e07c06t|320","()","[23, 24]","","نداره"
"s09e07c06t|323","()","[30, 31]","","بود"
"s09e07c06t|327","()","[1, 2]","","منظورم"
"s09e07c06t|331","()","[6, 7]","","میکنی"
"s09e07c06t|336","[12, 13]","[12, 16]","همه","همه ‌ ی آدما"
"s09e07c06t|337","[12, 13]","[12, 16]","همه","همه ‌ ی آدما"
"s09e07c06t|346","[23, 24]","[20, 21]","زد","اون"
"s09e07c06t|358","()","[43, 44]","","تلویزیونیم"
"s09e07c06t|369","()","[0, 1]","","داری"
"s09e07c07t|0","()","[3, 4]","","نداری"
"s09e07c07t|4","[5, 7]","[5, 8]","باستان ‌","باستان ‌ شناس"
"s09e07c07t|19","()","[2, 3]","","میدونین"
"s09e07c07t|22","()","[6, 7]","","هستیم"
"s09e07c07t|28","[3, 4]","[3, 5]","اتاق","اتاق مطالعه"
"s09e07c07t|36","()","[3, 4]","","میدونم"
"s09e07c07t|44","[15, 17]","[15, 18]","این اتاق","این اتاق مطالعه"
"s09e07c07t|64","()","[17, 18]","","میارم"
"s09e07c07t|67","()","[21, 22]","","برنادت"
"s09e07c07t|70","[21, 26]","[22, 26]","برنادت خیلی محترمانه و رومانتیک","خیلی محترمانه و رومانتیک"
"s09e07c07t|72","()","[26, 27]","","منظورم"
"s09e07c07t|76","()","[4, 5]","","نمیدونم"
"s09e07c07t|78","()","[10, 11]","","گفته"
"s09e07c07t|95","[1, 3]","[0, 3]","‌ لرزه","زمین ‌ لرزه"
"s09e07c07t|99","()","[4, 5]","","بمیریم"
"s09e07c08t|0","()","[0, 1]","","باورم"
"s09e07c08t|7","()","[0, 1]","","میدونم"
"s09e07c08t|18","()","[16, 17]","","روش"
"s09e07c08t|22","()","[2, 3]","","چطوری"
"s09e07c08t|27","()","[12, 13]","","میارن"
"s09e07c08t|38","()","[0, 1]","","میدونی"
"s09e07c08t|46","()","[4, 5]","","اینکه"
"s09e07c08t|47","()","[7, 8]","","امی"
"s09e07c08t|51","()","[15, 16]","","بخوام"
"s09e07c08t|56","[22, 23]","[22, 24]","دست","دست بکار"
"s09e07c08t|60","()","[0, 1]","","میخوام"
"s09e07c08t|70","[19, 20]","[14, 15]","کنیم","میتونیم"
"s09e07c08t|74","()","[19, 20]","","کنیم"
"s09e07c08t|83","()","[35, 36]","","میتونه"
"s09e07c09t|0","()","[1, 2]","","کنم"
"s09e07c09t|4","[0, 1]","()","خیلی",""
"s09e07c09t|7","[1, 2]","()","به",""
"s09e07c09t|12","[6, 9]","[6, 11]","دوست نداری بچه","دوست نداری بچه داشته باشی"
"s09e07c09t|17","()","[12, 13]","","نمیخواستم"
"s09e07c09t|19","()","[14, 15]","","امیدش"
"s09e07c09t|25","[4, 5]","()","این",""
"s09e07c09t|36","()","[8, 9]","","نمیخوام"
"s09e07c09t|52","[10, 11]","[9, 11]","کار","سر کار"
"s09e07c09t|64","()","[19, 20]","","راه"
"s09e07c09t|65","()","[22, 23]","","مامانت"
"s09e07c09t|75","()","[2, 3]","","پدرت"
"s09e07c09t|83","()","[24, 25]","","پدرت"
"s09e07c09t|89","[28, 36]","[28, 37]","بچه ‌ ای میمونه که تو میترسی داشته","بچه ‌ ای میمونه که تو میترسی داشته باشیش"
"s09e07c09t|97","()","[2, 3]","","میرم"
"s09e07c09t|102","()","[4, 5]","","دارم"
"s09e07c09t|110","()","[18, 19]","","داشتیم"
"s09e07c09t|116","()","[7, 8]","","بابام"
"s09e07c09t|137","[13, 35]","[18, 35]","اونا نیست که گفتم میشه موتورسیکلت بخریم که "" "" کنارش صندلی یدکی باشه تو هم گفتی درباره ‌ ش فکر میکنم","موتورسیکلت بخریم که "" "" کنارش صندلی یدکی باشه تو هم گفتی درباره ‌ ش فکر میکنم"
"s09e07c09t|142","[18, 26]","[18, 27]","موتورسیکلت بخریم که "" "" کنارش صندلی یدکی","موتورسیکلت بخریم که "" "" کنارش صندلی یدکی باشه"
"s09e07c09t|143","[25, 26]","[23, 26]","یدکی","کنارش صندلی یدکی"
"s09e07c09t|144","()","[34, 35]","","میکنم"
"s09e07c09t|156","()","[0, 1]","","مطمئنم"
"s09e07c09t|158","()","[5, 6]","","میشم"
"s09e07c09t|162","()","[0, 1]","","میدونم"
"s09e09c00t|0","()","[5, 6]","","دیدید"
"s09e09c00t|3","()","[5, 6]","","دیدید"
"s09e09c00t|6","[2, 19]","[2, 20]","این امکان رو دیدید که بهتون اجازه میده با سیری حرف بزنید اونم بدون فشردن هیچ دکمه","این امکان رو دیدید که بهتون اجازه میده با سیری حرف بزنید اونم بدون فشردن هیچ دکمه ای"
"s09e09c00t|8","[2, 4]","[2, 5]","این امکان","این امکان رو"
"s09e09c00t|11","[17, 19]","[17, 20]","هیچ دکمه","هیچ دکمه ای"
"s09e09c00t|13","()","[3, 4]","","چطوری"
"s09e09c00t|15","()","[1, 2]","","میگی"
"s09e09c00t|22","()","[4, 5]","","موبایلتو"
"s09e09c00t|28","[12, 16]","[12, 17]","عکسای لخت ماتحت مامان","عکسای لخت ماتحت مامان بزرگارو"
"s09e09c00t|29","[13, 16]","[13, 17]","لخت ماتحت مامان","لخت ماتحت مامان بزرگارو"
"s09e09c00t|39","[3, 6]","[3, 7]","عکسای باسن مامان","عکسای باسن مامان بزرگها"
"s09e09c00t|41","[4, 6]","[4, 7]","باسن مامان","باسن مامان بزرگها"
"s09e09c00t|58","()","[9, 10]","","نیستم"
"s09e09c00t|64","[15, 22]","[15, 23]","ضیافت ناهار مراسم شکرگذاری تو آکواریوم کافه","ضیافت ناهار مراسم شکرگذاری تو آکواریوم کافه تریا"
"s09e09c00t|65","[20, 22]","[20, 23]","آکواریوم کافه","آکواریوم کافه تریا"
"s09e09c00t|67","()","[26, 27]","","میخوادش"
"s09e09c00t|84","[42, 46]","()","ماهیهای آموزش دیده هم",""
"s09e09c00t|116","()","[1, 2]","","نمیتونیم"
"s09e09c00t|132","[9, 10]","[9, 11]","بیخانمان","بیخانمان ها"
"s09e09c00t|138","()","[0, 1]","","نمیتونم"
"s09e09c00t|147","[4, 6]","[4, 7]","بدتری چیز","بدتری چیز ممکنه"
"s09e09c00t|149","()","[3, 4]","","نمیتونی"
"s09e09c01t|20","[14, 22]","[14, 23]","امسال من بالاخره به یه ستاره دریایی دست","امسال من بالاخره به یه ستاره دریایی دست میزنم"
"s09e09c01t|24","[18, 20]","[18, 21]","یه ستاره","یه ستاره دریایی"
"s09e09c01t|31","()","[34, 35]","","میخوای"
"s09e09c01t|35","()","[1, 2]","","مهمونت"
"s09e09c01t|41","()","[19, 20]","","تو"
"s09e09c01t|43","[23, 24]","[22, 24]","چیز","یه چیز"
"s09e09c01t|49","()","[4, 5]","","توهم"
"s09e09c01t|54","()","[11, 12]","","بتونیم"
"s09e09c01t|58","()","[1, 2]","","نمیکنی"
"s09e09c01t|62","[3, 5]","[3, 6]","جشن شکر","جشن شکر گذاری"
"s09e09c01t|65","()","[13, 14]","","میخوام"
"s09e09c01t|67","[14, 15]","[14, 19]","چاردست","چاردست و پا برم بیرون"
"s09e09c01t|75","()","[30, 31]","","نباشه"
"s09e09c01t|79","()","[7, 8]","","میبینمت"
"s09e09c01t|85","()","[7, 8]","","زدم"
"s09e09c01t|93","()","[0, 1]","","میدونستی"
"s09e09c01t|99","()","[3, 4]","","لیستم"
"s09e09c02t|1","[0, 3]","[0, 4]","مدیر سوپ فروشی","مدیر سوپ فروشی مجانی"
"s09e09c02t|28","()","[6, 7]","","بتونم"
"s09e09c02t|34","()","[4, 5]","","کنم"
"s09e09c02t|41","()","[0, 1]","","میتونم"
"s09e09c02t|50","()","[2, 3]","","خوشحالم"
"s09e09c02t|52","()","[4, 5]","","اومدید"
"s09e09c02t|64","[10, 12]","[8, 12]","کافی نفر","به اندازه کافی نفر"
"s09e09c02t|65","[13, 16]","[13, 17]","هر روز دیگه","هر روز دیگه ای"
"s09e09c02t|67","()","[6, 7]","","صورتت"
"s09e09c02t|70","()","[3, 4]","","خوشحالم"
"s09e09c02t|79","()","[0, 1]","","منو"
"s09e09c02t|81","()","[6, 7]","","بگم"
"s09e09c02t|85","[2, 3]","()","بیشعوره",""
"s09e09c02t|91","[5, 6]","()","آخر",""
"s09e09c02t|95","()","[4, 5]","","داریم"
"s09e09c03t|10","()","[1, 2]","","میکنم"
"s09e09c03t|12","()","[3, 4]","","شدم"
"s09e09c03t|18","()","[4, 5]","","میشناسی"
"s09e09c03t|21","[6, 11]","()","دستگیره های فر آقای اسپاک",""
"s09e09c03t|22","[17, 18]","()","دستورالعملش",""
"s09e09c03t|23","[20, 21]","[19, 21]","پدمه","آی پدمه"
"s09e09c03t|24","()","[20, 21]","","پدمه"
"s09e09c03t|26","()","[21, 22]","","میتونی"
"s09e09c03t|28","()","[22, 23]","","بیارشون"
"s09e09c03t|33","()","[1, 2]","","تولدم"
"s09e09c03t|35","[1, 2]","[0, 2]","تولدم","تاریخ تولدم"
"s09e09c03t|36","()","[1, 2]","","نمیده"
"s09e09c03t|40","[0, 7]","[0, 7]","فقط اعداد سال و ماه و روز","فقط اعداد سال و ماه و روز"
"s09e09c03t|43","[2, 7]","[4, 7]","سال و ماه و روز","ماه و روز"
"s09e09c03t|50","()","[1, 2]","","تولدم"
"s09e09c03t|72","()","[2, 3]","","شوهرتو"
"s09e09c03t|78","[4, 5]","[3, 5]","چیزو","همه چیزو"
"s09e09c03t|79","[4, 7]","[3, 7]","چیزو راجب من","همه چیزو راجب من"
"s09e09c03t|82","()","[0, 1]","","تولدت"
"s09e09c03t|87","()","[3, 4]","","تو"
"s09e09c03t|90","[8, 13]","()","چار رقم آخر رمز فیسبوکت",""
"s09e09c03t|93","[12, 13]","()","فیسبوکت",""
"s09e09c03t|100","()","[21, 22]","","یادت"
"s09e09c04t|17","()","[5, 6]","","بود"
"s09e09c04t|18","[1, 11]","[1, 11]","یه لیست از چیزایی بود که میتونست منو آرام کنه","یه لیست از چیزایی بود که میتونست منو آرام کنه"
"s09e09c04t|19","[4, 11]","[4, 11]","چیزایی بود که میتونست منو آرام کنه","چیزایی بود که میتونست منو آرام کنه"
"s09e09c04t|24","()","[15, 16]","","لیست"
"s09e09c04t|28","()","[27, 29]","","که باهم"
"s09e09c04t|33","[32, 34]","[32, 35]","هیچ حیوون","هیچ حیوون خونگی"
"s09e09c04t|44","()","[4, 5]","","برم"
"s09e09c04t|46","[6, 7]","[6, 8]","عمه","عمه م"
"s09e09c04t|47","()","[7, 8]","","م"
"s09e09c04t|53","()","[1, 2]","","ت"
"s09e09c04t|66","()","[5, 6]","","زندگیم"
"s09e09c05t|9","()","[22, 23]","","خواستید"
"s09e09c05t|24","()","[0, 1]","","نمیدونم"
"s09e09c05t|43","()","[0, 1]","","نمیخوام"
"s09e09c05t|45","[2, 3]","[4, 5]","برام","بخونن"
"s09e09c06t|11","[12, 13]","()","72درجه",""
"s09e09c06t|18","[15, 20]","()","جفت لباس زیر دارم 78درجه",""
"s09e09c06t|22","[16, 18]","()","لباس زیر",""
"s09e09c06t|30","[1, 2]","[1, 4]","آب","آب و هوا"
"s09e09c06t|31","()","[0, 1]","","نمیدونم"
"s09e09c06t|35","()","[1, 2]","","اسمشو"
"s09e09c06t|36","[3, 4]","[3, 5]","بحث","بحث کردن"
"s09e09c06t|72","()","[0, 1]","","نمیدونم"
"s09e09c06t|78","()","[0, 1]","","میدونم"
"s09e09c06t|90","[5, 6]","()","من",""
"s09e09c07t|0","()","[5, 6]","","میخوایم"
"s09e09c07t|4","[4, 16]","[4, 16]","فلفل میخوایم که ، فک کنم این اسم سگ دوران کودکیت بود","فلفل میخوایم که ، فک کنم این اسم سگ دوران کودکیت بود"
"s09e09c07t|5","[10, 11]","[6, 7]","این","که"
"s09e09c07t|7","()","[9, 10]","","کنم"
"s09e09c07t|11","()","[14, 15]","","کودکیت"
"s09e09c07t|13","()","[4, 5]","","میکنی"
"s09e09c07t|15","[5, 6]","[10, 11]","همه","میدونی"
"s09e09c07t|17","[6, 7]","[5, 7]","چیز","همه چیز"
"s09e09c07t|21","[11, 18]","[11, 19]","عضو مورد علاقه من در گروه سپایس","عضو مورد علاقه من در گروه سپایس گرل"
"s09e09c07t|42","()","[2, 3]","","نمیتونی"
"s09e09c07t|51","()","[11, 12]","","میدونم"
"s09e09c07t|53","()","[12, 13]","","تو"
"s09e09c07t|55","[13, 21]","()","اون لباسی که برات تو روز ولنتاین خریدم",""
"s09e09c07t|57","[13, 15]","()","اون لباسی",""
"s09e09c07t|58","()","[20, 21]","","خریدم"
"s09e09c07t|63","()","[24, 25]","","میدونم"
"s09e09c07t|65","[31, 32]","[30, 31]","میاد","بدت"
"s09e09c07t|74","()","[10, 11]","","خریدی"
"s09e09c07t|80","()","[4, 5]","","میکنی"
"s09e09c07t|86","[8, 11]","()","یک هویج لختی",""
"s09e09c07t|100","()","[12, 13]","","م"
"s09e09c07t|107","()","[0, 1]","","نمیدونستم"
"s09e09c07t|109","()","[7, 8]","","داری"
"s09e09c07t|111","[2, 4]","[2, 6]","یه دفتر","یه دفتر وقایع روزانه"
"s09e09c07t|113","()","[1, 2]","","میدونم"
"s09e09c07t|115","[2, 3]","[6, 7]","تو","صدات"
"s09e09c07t|117","[2, 7]","[6, 7]","تو وقتی دروغ میگی صدات","صدات"
"s09e09c07t|118","()","[2, 3]","","تو"
"s09e09c07t|120","()","[1, 2]","","نمیشه"
"s09e09c08t|0","()","[0, 1]","","میدونی"
"s09e09c08t|6","()","[3, 4]","","میکردی"
"s09e09c08t|13","()","[4, 5]","","کنم"
"s09e09c08t|17","()","[9, 10]","","عادت"
"s09e09c08t|27","[2, 3]","()","حالا",""
"s09e09c08t|30","()","[0, 1]","","میدونی"
"s09e09c08t|41","[24, 25]","[30, 31]","طرف","بشوره"
"s09e09c08t|48","()","[12, 13]","","میگی"
"s09e09c08t|50","()","[2, 4]","","در مورد"
"s09e09c08t|51","[6, 8]","[6, 9]","زمان حاله","زمان حاله دقت"
"s09e09c08t|54","[17, 19]","[17, 21]","بوی مایع","بوی مایع ظرف شویی"
"s09e09c08t|55","[18, 19]","[18, 21]","مایع","مایع ظرف شویی"
"s09e09c08t|56","[19, 20]","()","ظرف",""
"s09e09c08t|65","()","[3, 4]","","میکنم"
"s09e09c08t|73","[5, 6]","()","اینجا",""
"s09e09c08t|77","()","[3, 4]","","داشتم"
"s09e09c09t|21","()","[6, 7]","","میزت"
"s09e09c09t|24","()","[10, 11]","","داشتم"
"s09e09c09t|28","()","[3, 4]","","فهمیدی"
"s09e09c09t|31","()","[5, 6]","","بود"
"s09e09c09t|35","()","[2, 3]","","میشناسی"
"s09e09c09t|41","[4, 7]","()","بد خر خونی",""
"s09e09c09t|54","()","[16, 17]","","میخوام"
"s09e09c09t|56","()","[21, 22]","","بخونی"
"s09e09c09t|62","()","[20, 21]","","نوشتم"
"s09e09c09t|72","()","[6, 7]","","این"
"s09e09c09t|75","()","[13, 14]","","دیدیم"
"s09e09c09t|86","()","[0, 1]","","نمیخوام"
"s09e09c09t|92","()","[6, 7]","","میکنی"
"s09e09c09t|96","()","[10, 11]","","میخوام"
